1000;Clara Sabrina;Freitas;10000;10/10/1988;15/10/2020;;Lucca Davi; da Rocha;181861896;09\/01\/2001;77 ;pai;clarasabrinafreitas__clarasabrinafreitas@kimmay.com.br
1001;Emanuelly Larissa ;Tânia Pinto;54434565630;09/01/2001;09/01/2020;morte as 10h;Otavio Caio;Pinto;378506432;09\/01\/1950;111111111;pai;eemanuellylarissataniapinto@vitaonline.com.br
1002;César Pietro ;dos Santos;90137735677;25/10/1978;25/10/2020;morreu as 22h na santa casa;Mariah Tatiane;Santos;156604449;25/10/1963;90137735677;mãe;cesarpietrodossantos@akto.com.br
1003;Rafael Manuel; Matheus Barros;59449943630;04/06/1970;10/07/2020;morreu me casa;Levi Daniel ;Leandro Barros;436858903;15/06/1950;35901008;pai;rafaelmanuelmatheusbarros__rafaelmanuelmatheusbarros@novotempo.com
1004;Tânia Rayssa ;Nascimento;83911543603;22/07/1946;22/12/2020;Doadora;Otávio Cauê ;Ryan Nascimento;294121572;22/07/1946;33130164;irmão;taniarayssanascimento__taniarayssanascimento@fundasa.com.br
1005;Vitor Arthur ;Oliveira;181861896;10/12/1951;10/12/2020;;Marlene Isabelle ;Sarah;181861896;37996579669;35660334;conhecida;vvitorarthuroliveira@yahooo.com.br
1006;Lucca Davi ;da Rocha;96454410641;18/04/1978;18/04/2020;;Augusto Leandro ;Daniel da Rocha;47138162;18/04/1978;32187050;pai;lluccadavidarocha@outlook.com.br
1007;Andreia Daiane ;Teresinha Gomes;18161338680;04/06/1980;04/06/1980;morreu as 15h;Martin Nicolas; Gomes;345892847;04/06/1980;35162433;;andreiadaianeteresinhagomes..a@mil
1008;Esther Tereza; Rocha;29727888690;04/04/1984;04/04/2020;;Roberto Cláudio ;Rocha;347481437;04/04/1960;347481437;pai;estherterezarocha..estherterezarocha@kimmay.com.br
1009;José Filipe ;Pires;1228682062;22/04/1995;22/04/2020;;Rafaela Betina; Betina;277814728;22/04/1940;32071160;mãe;josefilipepires-93@iedi.com.br
1010;Igor ;Loredo;079999;10/10/2020;10/10/2020;Pai de 3 filhas;Igor Loredo;loredo;07555112;10/10/2020;1199999;pai;igor@gmail
1011;igorlo;loredo;07135555;10/10/2020;10/10/2020;Pai de 5 filhas;igor ;loredo;3333333;10/10/2020;111;pai;igorloredo@gmaod
1012;igor ;loredo;123456;10/10/2020;10/10/2020;Pai de 7 filhas;pai;pai;123456;10/10/2020;123456;pai;igorloredo@gmail
1013;dona ;silva;12345;10/10/2020;10/10/2020;mãe de 5 filhas;igor;loredo;12345;10/10/2020;101010;pai;igorlored@gh
